"District","week","TForce"
"Adhamiya",2440,1.593254331
"Adhamiya",2441,1.593254331
"Adhamiya",2442,1.593254331
"Adhamiya",2443,1.593254331
"Adhamiya",2444,1.555237649
"Adhamiya",2445,1.555237649
"Adhamiya",2446,1.555237649
"Adhamiya",2447,1.555237649
"Adhamiya",2448,1.555237649
"Adhamiya",2449,2.513311528
"Adhamiya",2450,2.513311528
"Adhamiya",2451,2.513311528
"Adhamiya",2452,2.513311528
"Adhamiya",2453,1.675145284
"Adhamiya",2454,1.675145284
"Adhamiya",2455,1.675145284
"Adhamiya",2456,1.675145284
"Adhamiya",2457,1.550488831
"Adhamiya",2458,1.550488831
"Adhamiya",2459,1.550488831
"Adhamiya",2460,1.550488831
"Adhamiya",2461,1.550488831
"Adhamiya",2462,1.133780118
"Adhamiya",2463,1.133780118
"Adhamiya",2464,1.133780118
"Adhamiya",2465,1.133780118
"Adhamiya",2466,2.064548298
"Adhamiya",2467,2.064548298
"Adhamiya",2468,2.064548298
"Adhamiya",2469,2.064548298
"Adhamiya",2470,2.064548298
"Adhamiya",2471,2.064548298
"Adhamiya",2472,2.064548298
"Adhamiya",2473,2.064548298
"Adhamiya",2474,2.064548298
"Adhamiya",2475,2.064548298
"Adhamiya",2476,2.064548298
"Adhamiya",2477,2.064548298
"Adhamiya",2478,2.064548298
"Adhamiya",2479,1.641903563
"Adhamiya",2480,1.641903563
"Adhamiya",2481,1.641903563
"Adhamiya",2482,1.641903563
"Adhamiya",2483,2.481257012
"Adhamiya",2484,2.481257012
"Adhamiya",2485,2.481257012
"Adhamiya",2486,2.481257012
"Adhamiya",2487,2.481257012
"Adhamiya",2488,2.185643138
"Adhamiya",2489,2.185643138
"Adhamiya",2490,2.185643138
"Adhamiya",2491,2.185643138
"Adhamiya",2492,2.185643138
"Adhamiya",2493,2.185643138
"Adhamiya",2494,2.185643138
"Adhamiya",2495,2.185643138
"Adhamiya",2496,2.541704183
"Adhamiya",2497,2.541704183
"Adhamiya",2498,2.541704183
"Adhamiya",2499,2.541704183
"Adhamiya",2500,2.541704183
"Adhamiya",2501,2.541704183
"Adhamiya",2502,2.541704183
"Adhamiya",2503,2.541704183
"Adhamiya",2504,2.541704183
"Adhamiya",2505,2.12890916
"Adhamiya",2506,2.12890916
"Adhamiya",2507,2.12890916
"Adhamiya",2508,2.12890916
"Adhamiya",2509,2.015274575
"Adhamiya",2510,2.015274575
"Adhamiya",2511,2.015274575
"Adhamiya",2512,2.015274575
"Adhamiya",2513,2.015274575
"Adhamiya",2514,0.846461703
"Adhamiya",2515,0.846461703
"Adhamiya",2516,0.846461703
"Adhamiya",2517,0.846461703
"Adhamiya",2518,0.846461703
"Adhamiya",2519,0.846461703
"Adhamiya",2520,0.846461703
"Adhamiya",2521,0.846461703
"Adhamiya",2522,2.015274575
"Adhamiya",2523,2.015274575
"Adhamiya",2524,2.015274575
"Adhamiya",2525,2.015274575
"Adhamiya",2526,2.015274575
"Adhamiya",2527,1.518992919
"Adhamiya",2528,1.518992919
"Adhamiya",2529,1.518992919
"Adhamiya",2530,1.518992919
"Adhamiya",2531,0.700360094
"Adhamiya",2532,0.700360094
"Adhamiya",2533,0.700360094
"Adhamiya",2534,0.700360094
"Adhamiya",2535,0.700360094
"Adhamiya",2536,0.700360094
"Adhamiya",2537,0.700360094
"Adhamiya",2538,0.700360094
"Adhamiya",2539,0.700360094
"Al Resafa",2293,0.699874934
"Al Resafa",2294,0.699874934
"Al Resafa",2295,0.699874934
"Al Resafa",2296,0.699874934
"Al Resafa",2297,1.242162135
"Al Resafa",2298,1.242162135
"Al Resafa",2299,1.242162135
"Al Resafa",2300,1.242162135
"Al Resafa",2301,1.204310179
"Al Resafa",2302,1.204310179
"Al Resafa",2303,1.204310179
"Al Resafa",2304,1.204310179
"Al Resafa",2305,1.204310179
"Al Resafa",2306,0.73772689
"Al Resafa",2307,0.73772689
"Al Resafa",2308,0.73772689
"Al Resafa",2309,0.73772689
"Al Resafa",2310,0.73772689
"Al Resafa",2311,0.73772689
"Al Resafa",2312,0.73772689
"Al Resafa",2313,0.73772689
"Al Resafa",2314,0.73772689
"Al Resafa",2315,0.73772689
"Al Resafa",2316,0.73772689
"Al Resafa",2317,0.73772689
"Al Resafa",2318,0.73772689
"Al Resafa",2319,1.00887049
"Al Resafa",2320,1.00887049
"Al Resafa",2321,1.00887049
"Al Resafa",2322,1.00887049
"Al Resafa",2323,0.73772689
"Al Resafa",2324,0.73772689
"Al Resafa",2325,0.73772689
"Al Resafa",2326,0.73772689
"Al Resafa",2327,0.73772689
"Al Resafa",2328,0.504435245
"Al Resafa",2329,0.504435245
"Al Resafa",2330,0.504435245
"Al Resafa",2331,0.504435245
"Al Resafa",2332,0.775578845
"Al Resafa",2333,0.775578845
"Al Resafa",2334,0.775578845
"Al Resafa",2335,0.775578845
"Al Resafa",2336,0.775578845
"Al Resafa",2337,0.775578845
"Al Resafa",2338,0.775578845
"Al Resafa",2339,0.775578845
"Al Resafa",2340,0.763329491
"Al Resafa",2341,0.763329491
"Al Resafa",2342,0.763329491
"Al Resafa",2343,0.763329491
"Al Resafa",2344,0.763329491
"Al Resafa",2345,1.105428991
"Al Resafa",2346,1.105428991
"Al Resafa",2347,1.105428991
"Al Resafa",2348,1.105428991
"Al Resafa",2349,0.824875429
"Al Resafa",2350,0.824875429
"Al Resafa",2351,0.824875429
"Al Resafa",2352,0.824875429
"Al Resafa",2353,0.241387965
"Al Resafa",2354,0.241387965
"Al Resafa",2355,0.241387965
"Al Resafa",2356,0.241387965
"Al Resafa",2357,0.241387965
"Al Resafa",2362,0.241387965
"Al Resafa",2363,0.241387965
"Al Resafa",2364,0.241387965
"Al Resafa",2365,0.241387965
"Al Resafa",2366,0.241387965
"Al Resafa",2367,0.241387965
"Al Resafa",2368,0.241387965
"Al Resafa",2369,0.241387965
"Al Resafa",2370,0.241387965
"Al Resafa",2371,0.241387965
"Al Resafa",2372,0.241387965
"Al Resafa",2373,0.241387965
"Al Resafa",2374,0.241387965
"Al Resafa",2375,0.241387965
"Al Resafa",2376,0.241387965
"Al Resafa",2377,0.241387965
"Al Resafa",2378,0.241387965
"Al Resafa",2379,0.241387965
"Al Resafa",2380,0.241387965
"Al Resafa",2381,0.241387965
"Al Resafa",2382,0.241387965
"Al Resafa",2383,0.241387965
